,bathrooms,bedrooms,beds,bed_type,price,cleaning_fee,availability_30,availability_90,number_of_reviews,latitude,longitude,property_type,room_type,neighbourhood_cleansed,minimum_nights,maximum_nights
0,1.5,2.0,3.0,Real Bed,250.0,35.0,0,0,0,42.28261879577949,-71.13306792912681,House,Entire home/apt,Roslindale,2,1125
1,1.0,1.0,1.0,Real Bed,65.0,10.0,26,84,36,42.286240821867416,-71.13437396457161,Apartment,Private room,Roslindale,2,15
2,1.0,1.0,1.0,Real Bed,65.0,68.0,19,61,41,42.2924378866568,-71.13576525374667,Apartment,Private room,Roslindale,3,45
3,1.0,1.0,2.0,Real Bed,75.0,50.0,6,26,1,42.28110618827366,-71.12102117350553,House,Private room,Roslindale,1,1125
4,1.5,1.0,2.0,Real Bed,79.0,15.0,13,59,29,42.28451220982457,-71.1362580468337,House,Private room,Roslindale,2,31
5,1.0,1.0,1.0,Real Bed,75.0,30.0,5,58,8,42.29168980076903,-71.13189277475922,Condominium,Private room,Roslindale,2,1125
6,1.0,1.0,2.0,Real Bed,100.0,68.0,22,69,57,42.28138962623448,-71.13119041987277,Apartment,Entire home/apt,Roslindale,1,1125
7,2.0,1.0,1.0,Real Bed,75.0,10.0,30,90,67,42.28194609607024,-71.14102161135577,House,Private room,Roslindale,1,1125
8,1.0,1.0,2.0,Real Bed,58.0,68.0,12,72,65,42.28587763920193,-71.12490955692161,Condominium,Private room,Roslindale,2,1125
9,1.0,2.0,2.0,Real Bed,229.0,50.0,20,80,33,42.28882028358453,-71.13951010210121,Apartment,Entire home/apt,Roslindale,4,10
10,1.0,1.0,1.0,Real Bed,60.0,30.0,16,68,1,42.28644819778879,-71.13932538848039,House,Private room,Roslindale,1,1125
11,1.0,1.0,1.0,Real Bed,57.0,40.0,6,66,17,42.281941832424685,-71.13337190191741,House,Private room,Roslindale,1,1125
12,1.0,2.0,2.0,Real Bed,93.0,40.0,0,0,1,42.29172341146307,-71.13155602161845,Condominium,Entire home/apt,Roslindale,1,1125
13,1.0,2.0,3.0,Real Bed,150.0,50.0,8,39,12,42.28764103470109,-71.12988286590424,Apartment,Entire home/apt,Roslindale,2,21
14,1.5,2.0,2.0,Real Bed,145.0,150.0,11,44,7,42.286264736208935,-71.13706513072117,House,Entire home/apt,Roslindale,3,1125
15,0.0,1.0,1.0,Real Bed,60.0,68.0,4,64,70,42.2814520694321,-71.12925004404066,Apartment,Private room,Roslindale,1,365
16,1.0,1.0,3.0,Real Bed,165.0,50.0,20,80,1,42.27440801253166,-71.12529404441553,House,Private room,Roslindale,3,1125
17,1.0,1.0,1.0,Real Bed,75.0,20.0,0,0,1,42.29181491557826,-71.1315879343071,Condominium,Private room,Roslindale,1,1125
18,1.0,1.0,1.0,Real Bed,49.0,68.0,0,20,0,42.2822247558416,-71.11518855890074,House,Private room,Roslindale,5,1125
19,1.0,1.0,1.0,Real Bed,49.0,68.0,0,0,4,42.28280175042395,-71.11514509094087,House,Private room,Roslindale,5,1125
20,2.5,1.0,1.0,Real Bed,40.0,68.0,6,57,31,42.27964781834151,-71.1360587290911,Villa,Private room,Roslindale,2,1125
21,1.0,0.0,2.0,Real Bed,120.0,50.0,0,32,16,42.29403534422037,-71.13223724631055,House,Entire home/apt,Roslindale,2,6
22,0.0,1.0,1.0,Real Bed,70.0,68.0,0,24,38,42.28052812623618,-71.13084254103526,Apartment,Private room,Roslindale,1,365
23,1.0,3.0,5.0,Real Bed,150.0,100.0,0,0,21,42.27838291101699,-71.12878009724983,House,Entire home/apt,Roslindale,3,1125
24,3.5,4.0,3.0,Real Bed,175.0,100.0,0,0,1,42.27683095063724,-71.12955973831468,House,Entire home/apt,Roslindale,14,1125
25,1.5,1.0,1.0,Real Bed,95.0,10.0,0,0,40,42.290903928902345,-71.13023771355206,House,Private room,Roslindale,1,1125
26,1.0,1.0,1.0,Real Bed,90.0,68.0,0,0,43,42.29151999170097,-71.13185776978565,Apartment,Private room,Roslindale,1,1125
27,1.0,1.0,1.0,Real Bed,95.0,15.0,8,37,33,42.28907107085577,-71.12823296377442,House,Private room,Roslindale,2,1125
28,1.0,1.0,2.0,Real Bed,100.0,68.0,21,81,11,42.292238240224194,-71.13449706289937,Apartment,Private room,Roslindale,1,30
29,1.0,1.0,1.0,Real Bed,67.0,40.0,0,35,20,42.28208581195228,-71.1333486774579,House,Private room,Roslindale,1,1125
30,1.0,1.0,1.0,Real Bed,55.0,68.0,0,0,30,42.284561507299415,-71.11972634316602,Condominium,Private room,Roslindale,1,4
31,1.0,2.0,2.0,Real Bed,200.0,85.0,21,78,2,42.27696861949929,-71.11775586431585,Apartment,Entire home/apt,Roslindale,2,1125
32,1.0,1.0,2.0,Real Bed,150.0,68.0,0,3,0,42.28922069154087,-71.13071326524191,Apartment,Entire home/apt,Roslindale,1,1125
33,1.0,1.0,1.0,Real Bed,49.0,68.0,0,50,10,42.28228162657036,-71.11681747458199,House,Private room,Roslindale,5,1125
34,1.5,1.0,1.0,Real Bed,75.0,68.0,27,87,17,42.27691292292999,-71.12823284429416,House,Private room,Roslindale,1,1125
35,1.0,1.0,2.0,Real Bed,110.0,25.0,7,25,55,42.28967076428995,-71.1372864086912,House,Entire home/apt,Roslindale,3,1125
36,1.0,1.0,1.0,Real Bed,115.0,35.0,19,76,0,42.289603216466745,-71.13336748771152,Apartment,Private room,Roslindale,1,1125
37,1.0,3.0,5.0,Real Bed,125.0,50.0,26,81,24,42.27917609759368,-71.13277179664853,House,Entire home/apt,Roslindale,1,1125
38,2.5,3.0,7.0,Real Bed,200.0,50.0,18,68,82,42.28214228250037,-71.12904915306451,House,Entire home/apt,Roslindale,1,1125
39,2.0,1.0,1.0,Real Bed,75.0,10.0,26,86,20,42.281748516890026,-71.14031783726143,House,Private room,Roslindale,1,1125
40,1.0,1.0,1.0,Real Bed,78.0,25.0,4,64,21,42.27563719947966,-71.12480041713683,House,Private room,Roslindale,3,1125
41,1.0,1.0,2.0,Real Bed,50.0,10.0,0,0,10,42.28759769917666,-71.13448153404433,Apartment,Private room,Roslindale,2,15
42,1.0,1.0,1.0,Real Bed,60.0,68.0,20,80,143,42.28997231000651,-71.13614631892551,Apartment,Private room,Roslindale,1,1125
43,1.5,1.0,1.0,Real Bed,45.0,68.0,6,6,2,42.27896822197632,-71.13671455617597,House,Private room,Roslindale,2,1125
44,1.0,2.0,2.0,Real Bed,145.0,56.0,4,38,26,42.28290545627205,-71.13267673899496,House,Entire home/apt,Roslindale,5,1125
45,2.0,1.0,1.0,Real Bed,45.0,68.0,2,53,5,42.27636367614069,-71.13643292507432,House,Private room,Roslindale,2,1125
46,1.5,1.0,1.0,Real Bed,85.0,10.0,0,0,29,42.29110718003285,-71.13133846374735,House,Private room,Roslindale,1,1125
47,1.0,1.0,1.0,Real Bed,75.0,50.0,20,80,9,42.27571563204639,-71.13013942666514,House,Private room,Roslindale,3,1125
48,2.0,1.0,1.0,Real Bed,50.0,68.0,11,71,14,42.27493019121742,-71.13062800634724,House,Private room,Roslindale,2,1125
49,2.5,1.0,1.0,Real Bed,45.0,68.0,0,0,8,42.2802789130541,-71.13586963457317,House,Private room,Roslindale,2,1125
50,1.0,1.0,1.0,Real Bed,60.0,68.0,0,0,117,42.285560027126245,-71.1239986992945,House,Private room,Roslindale,2,5
51,1.0,1.0,1.0,Real Bed,95.0,35.0,8,46,53,42.287025610360985,-71.1335387879796,Apartment,Entire home/apt,Roslindale,1,180
52,1.0,0.0,1.0,Real Bed,89.0,45.0,19,73,3,42.28606772927463,-71.1323625033481,Apartment,Entire home/apt,Roslindale,3,1125
53,1.0,0.0,2.0,Real Bed,110.0,25.0,17,58,0,42.28389087384849,-71.13140826651365,Apartment,Entire home/apt,Roslindale,2,1125
